bins,variable,num_0,num_1,num_01,pct_0_row,pct_1_row,pct_0_col,pct_1_col,pct_bin,odds,woe,miv,IV,is_monotonic,type
"(25.0, 29.0]",age.in.years,123,57,180,0.6833333333333333,0.31666666666666665,0.17647058823529413,0.19,0.18054162487462388,0.46341463414634143,0.07386418191584423,0.0009993389318025978,0.1754,0,numeric
"(29.0, 34.0]",age.in.years,122,55,177,0.6892655367231638,0.3107344632768362,0.1750358680057389,0.18333333333333332,0.17753259779338015,0.4508196721311476,0.04630936350510273,0.00038425033802655666,0.1754,0,numeric
"(34.0, 38.0]",age.in.years,108,24,132,0.8181818181818182,0.18181818181818182,0.15494978479196556,0.08,0.13239719157472418,0.2222222222222222,-0.6610809143548299,0.04954787226097031,0.1754,0,numeric
"(38.0, 48.0]",age.in.years,132,49,181,0.7292817679558011,0.27071823204419887,0.18938307030129126,0.16333333333333333,0.1815446339017051,0.37121212121212116,-0.147983968660511,0.0038549434590808406,0.1754,0,numeric
"(48.0, 52.0]",age.in.years,37,6,43,0.8604651162790697,0.13953488372093023,0.05308464849354376,0.02,0.04312938816449348,0.16216216216216217,-0.9761743449722547,0.03229638507182237,0.1754,0,numeric
"(52.0, 61.0]",age.in.years,36,22,58,0.6206896551724138,0.3793103448275862,0.05164992826398852,0.07333333333333333,0.058174523570712136,0.611111111111111,0.3505070900828415,0.007600187213943583,0.1754,0,numeric
"(61.0, 67.0]",age.in.years,24,4,28,0.8571428571428571,0.14285714285714285,0.03443328550932568,0.013333333333333334,0.028084252758274825,0.16666666666666666,-0.9487855743686977,0.020019330244450947,0.1754,0,numeric
"(67.0, inf]",age.in.years,7,3,10,0.7,0.3,0.010043041606886656,0.01,0.010030090270812437,0.4285714285714286,-0.004394490754546375,1.891459435242299e-07,0.1754,0,numeric
"(-inf, 1.0]",number.of.existing.credits.at.this.bank,431,200,631,0.6830427892234548,0.31695721077654515,0.6183644189383071,0.6666666666666666,0.6328986960882648,0.46403712296983757,0.07521059538054561,0.0036328408098685295,0.0134,0,numeric
"(1.0, 2.0]",number.of.existing.credits.at.this.bank,240,92,332,0.7228915662650602,0.27710843373493976,0.34433285509325684,0.30666666666666664,0.3329989969909729,0.38333333333333336,-0.11585031435107782,0.004363639769627403,0.0134,0,numeric
"(2.0, 3.0]",number.of.existing.credits.at.this.bank,22,6,28,0.7857142857142857,0.21428571428571427,0.03156384505021521,0.02,0.028084252758274825,0.2727272727272727,-0.4563117293422616,0.005276718132709653,0.0134,0,numeric
"(3.0, inf]",number.of.existing.credits.at.this.bank,4,2,6,0.6666666666666666,0.3333333333333333,0.005738880918220947,0.006666666666666667,0.006018054162487462,0.5,0.14968152072414548,0.00013887238173354485,0.0134,0,numeric
"(-inf, 1.0]",number.of.people.being.liable.to.provide.maintenance.for,589,254,843,0.6986951364175563,0.3013048635824436,0.8450502152080345,0.8466666666666667,0.8455366098294884,0.431239388794567,0.0019098361103428564,3.08715736631217e-06,0.0,1,numeric
"(1.0, inf]",number.of.people.being.liable.to.provide.maintenance.for,108,46,154,0.7012987012987013,0.2987012987012987,0.15494978479196556,0.15333333333333332,0.15446339017051153,0.42592592592592593,-0.010493348213680555,1.6961988025939884e-05,0.0,1,numeric
,other.installment.plans,82,57,139,0.5899280575539568,0.41007194244604317,0.11764705882352941,0.19,0.13941825476429287,0.6951219512195123,0.4793264567107447,0.03468067892671859,0.0567,1,category
,other.installment.plans,28,19,47,0.5957446808510638,0.40425531914893614,0.040172166427546625,0.06333333333333334,0.04714142427281846,0.6785714285714286,0.4552125125482387,0.010543252980732285,0.0567,1,category
,other.installment.plans,587,224,811,0.7237977805178791,0.2762022194821208,0.8421807747489239,0.7466666666666667,0.8134403209628887,0.3816013628620102,-0.12037701926155518,0.011497703628368144,0.0567,1,category
,telephone,408,187,595,0.6857142857142857,0.3142857142857143,0.5853658536585366,0.6233333333333333,0.59679037111334,0.4583333333333333,0.06284267022287351,0.0023859778043969046,0.006,1,category
,telephone,289,113,402,0.7189054726368159,0.2810945273631841,0.4146341463414634,0.37666666666666665,0.40320962888665995,0.39100346020761245,-0.09603834505756631,0.003646333913974265,0.006,1,category
,property,87,67,154,0.564935064935065,0.43506493506493504,0.12482065997130559,0.22333333333333333,0.15446339017051153,0.7701149425287356,0.5817794253785441,0.057312646501064705,0.1119,1,category
,property,229,102,331,0.6918429003021148,0.3081570996978852,0.3285509325681492,0.34,0.3319959879638917,0.44541484716157204,0.034250702170864074,0.0003921385987424618,0.1119,1,category
,property,160,71,231,0.6926406926406926,0.30735930735930733,0.22955523672883787,0.23666666666666666,0.2316950852557673,0.44375,0.030504641671299678,0.00021693162202402017,0.1119,1,category
,property,221,60,281,0.7864768683274022,0.21352313167259787,0.3170731707317073,0.2,0.2818455366098295,0.27149321266968324,-0.4608183570325097,0.05394946618917186,0.1119,1,category
,other.debtors.or.guarantors,23,18,41,0.5609756097560976,0.43902439024390244,0.03299856527977044,0.06,0.041123370110330994,0.7826086956521738,0.5978501741826792,0.01614281245067148,0.0321,1,category
,other.debtors.or.guarantors,632,272,904,0.6991150442477876,0.3008849557522124,0.9067431850789096,0.9066666666666666,0.9067201604814443,0.4303797468354431,-8.549459403051018e-05,6.541910590573427e-09,0.0321,1,category
,other.debtors.or.guarantors,42,10,52,0.8076923076923077,0.19230769230769232,0.06025824964131994,0.03333333333333333,0.05215646940822467,0.2380952380952381,-0.5920981842853957,0.015942194057995112,0.0321,1,category
,savings.account.and.bonds,384,217,601,0.6389351081530782,0.3610648918469218,0.5509325681492109,0.7233333333333334,0.6028084252758275,0.5651041666666667,0.2722559219545362,0.04693712927087078,0.1986,1,category
,savings.account.and.bonds,68,34,102,0.6666666666666666,0.3333333333333333,0.0975609756097561,0.11333333333333333,0.10230692076228685,0.5,0.1498455055969084,0.0023634169175447326,0.1986,1,category
,savings.account.and.bonds,151,32,183,0.825136612021858,0.17486338797814208,0.21664275466284075,0.10666666666666667,0.18355065195586762,0.2119205298013245,-0.7085456137942615,0.07792307477194088,0.1986,1,category
,savings.account.and.bonds,52,11,63,0.8253968253968254,0.1746031746031746,0.0746054519368723,0.03666666666666667,0.06318956870611836,0.21153846153846154,-0.710358913435057,0.02695015428158922,0.1986,1,category
,savings.account.and.bonds,42,6,48,0.875,0.125,0.06025824964131994,0.02,0.048144433299899696,0.14285714285714285,-1.1029238080513861,0.04440178199988794,0.1986,1,category
,job,97,51,148,0.6554054054054054,0.34459459459459457,0.13916786226685796,0.17,0.14844533600802406,0.5257731958762887,0.20011040478407155,0.0061698315621373035,0.0086,1,category
,job,15,7,22,0.6818181818181818,0.3181818181818182,0.021520803443328552,0.023333333333333334,0.022066198595787363,0.4666666666666667,0.08081641847030144,0.00014648217408055588,0.0086,1,category
,job,441,186,627,0.7033492822966507,0.2966507177033493,0.6327116212338594,0.62,0.6288866599799399,0.42176870748299317,-0.02029684612693913,0.000258005820207576,0.0086,1,category
,job,144,56,200,0.72,0.28,0.2065997130559541,0.18666666666666668,0.20060180541624875,0.38888888888888895,-0.10146351300259218,0.002022476911500737,0.0086,1,category
,foreign.worker,664,296,960,0.6916666666666667,0.30833333333333335,0.9526542324246772,0.9866666666666667,0.9628886659979939,0.44578313253012053,0.03507919125370516,0.0011931286857788206,0.0443,1,category
,foreign.worker,33,4,37,0.8918918918918919,0.10810810810810811,0.047345767575322814,0.013333333333333334,0.037111334002006016,0.12121212121212122,-1.2672313852313384,0.043101624159566136,0.0443,1,category
,present.employment.since,102,70,172,0.5930232558139535,0.4069767441860465,0.14634146341463414,0.23333333333333334,0.17251755265797392,0.6862745098039215,0.4665185315594245,0.04058331941208002,0.0836,1,category
,present.employment.since,39,23,62,0.6290322580645161,0.3709677419354839,0.05595408895265423,0.07666666666666666,0.062186559679037114,0.5897435897435898,0.31491763426865277,0.006522755973302414,0.0836,1,category
,present.employment.since,235,104,339,0.6932153392330384,0.30678466076696165,0.33715925394548063,0.3466666666666667,0.34002006018054165,0.4425531914893617,0.02780535514848824,0.00026435698725583306,0.0836,1,category
,present.employment.since,189,64,253,0.7470355731225297,0.25296442687747034,0.27116212338593976,0.21333333333333335,0.25376128385155466,0.3386243386243386,-0.23986468341953532,0.01387108441850321,0.0836,1,category
,present.employment.since,132,39,171,0.7719298245614035,0.22807017543859648,0.18938307030129126,0.13,0.1715145436308927,0.29545454545454547,-0.3762426206414911,0.022342441991895723,0.0836,1,category
,personal.status.and.sex,61,31,92,0.6630434782608695,0.33695652173913043,0.08751793400286945,0.10333333333333333,0.09227683049147442,0.5081967213114754,0.16610485025192837,0.002627014537461152,0.0086,1,category
,personal.status.and.sex,379,168,547,0.6928702010968921,0.3071297989031079,0.5437589670014347,0.56,0.5486459378134403,0.4432717678100264,0.029428871376714717,0.00047795527113976007,0.0086,1,category
,personal.status.and.sex,219,89,308,0.711038961038961,0.288961038961039,0.31420373027259685,0.2966666666666667,0.30892678034102306,0.406392694063927,-0.057435606623375234,0.001007251886599315,0.0086,1,category
,personal.status.and.sex,38,12,50,0.76,0.24,0.054519368723098996,0.04,0.05015045135406219,0.3157894736842105,-0.3096949157711114,0.0044965746737498525,0.0086,1,category
,status.of.existing.checking.account,138,135,273,0.5054945054945055,0.4945054945054945,0.19799139167862267,0.45,0.27382146439317956,0.9782608695652175,0.8210189786736648,0.20690385022098884,0.6652,1,category
,status.of.existing.checking.account,164,105,269,0.6096654275092936,0.3903345724907063,0.23529411764705882,0.35,0.26980942828485455,0.6402439024390244,0.39709260844667893,0.04554885802770728,0.6652,1,category
,status.of.existing.checking.account,49,14,63,0.7777777777777778,0.2222222222222222,0.0703012912482066,0.04666666666666667,0.06318956870611836,0.2857142857142857,-0.4097742567796739,0.009684860722167135,0.6652,1,category
,status.of.existing.checking.account,346,46,392,0.8826530612244898,0.11734693877551021,0.4964131994261119,0.15333333333333332,0.39317953861584753,0.1329479768786127,-1.1747964569131444,0.4030490111240323,0.6652,1,category
,housing,64,44,108,0.5925925925925926,0.4074074074074074,0.09182209469153516,0.14666666666666667,0.10832497492477432,0.6875,0.46829859609721447,0.02568363605950672,0.0819,1,category
,housing,109,70,179,0.6089385474860335,0.39106145251396646,0.1563845050215208,0.23333333333333334,0.17953861584754263,0.6422018348623854,0.40014390144957007,0.030790604372661807,0.0819,1,category
,housing,524,186,710,0.7380281690140845,0.2619718309859155,0.7517934002869441,0.62,0.7121364092276831,0.3549618320610687,-0.19274340465530532,0.025402308682405096,0.0819,1,category
,purpose,28,22,50,0.56,0.44,0.040172166427546625,0.07333333333333333,0.05015045135406219,0.7857142857142857,0.6018159867401139,0.01995692038285964,0.1656,1,category
,purpose,7,5,12,0.5833333333333334,0.4166666666666667,0.010043041606886656,0.016666666666666666,0.012036108324974924,0.7142857142857143,0.5064311330114443,0.0033544099436673856,0.1656,1,category
,purpose,145,89,234,0.6196581196581197,0.3803418803418803,0.20803443328550933,0.2966666666666667,0.23470411233701102,0.6137931034482759,0.35490075653088965,0.03145564667999512,0.1656,1,category
,purpose,14,8,22,0.6363636363636364,0.36363636363636365,0.020086083213773313,0.02666666666666667,0.022066198595787363,0.5714285714285715,0.283337363693882,0.0018645251671103866,0.1656,1,category
,purpose,63,34,97,0.6494845360824743,0.35051546391752575,0.09038737446197992,0.11333333333333333,0.09729187562688064,0.5396825396825397,0.2262176708980878,0.005190781372400884,0.1656,1,category
,purpose,8,4,12,0.6666666666666666,0.3333333333333333,0.011477761836441894,0.013333333333333334,0.012036108324974924,0.5,0.14976863433953988,0.0002779064090088067,0.1656,1,category
,purpose,123,58,181,0.6795580110497238,0.32044198895027626,0.17647058823529413,0.19333333333333333,0.1815446339017051,0.4715447154471545,0.09125592462771337,0.0015388253956830085,0.1656,1,category
,purpose,216,62,278,0.7769784172661871,0.22302158273381295,0.3098995695839311,0.20666666666666667,0.27883650952858574,0.28703703703703703,-0.40514431338139606,0.04182422357078342,0.1656,1,category
,purpose,85,17,102,0.8333333333333334,0.16666666666666666,0.12195121951219512,0.056666666666666664,0.10230692076228685,0.19999999999999998,-0.7664431762961579,0.0500369000460012,0.1656,1,category
,purpose,8,1,9,0.8888888888888888,0.1111111111111111,0.011477761836441894,0.0033333333333333335,0.009027081243731194,0.125,-1.2365257267803507,0.010070795374016917,0.1656,1,category
,credit.history,15,25,40,0.375,0.625,0.021520803443328552,0.08333333333333333,0.04012036108324975,1.6666666666666667,1.3537820942831889,0.08368069616743287,0.2946,1,category
,credit.history,21,28,49,0.42857142857142855,0.5714285714285714,0.03012912482065997,0.09333333333333334,0.04914744232698094,1.3333333333333333,1.130651818630705,0.07146195329996842,0.2946,1,category
,credit.history,59,28,87,0.6781609195402298,0.3218390804597701,0.08464849354375897,0.09333333333333334,0.08726178535606821,0.4745762711864407,0.09765818888426478,0.0008481457245998317,0.2946,1,category
,credit.history,359,169,528,0.6799242424242424,0.32007575757575757,0.5150645624103299,0.5633333333333334,0.5295887662988967,0.47075208913649025,0.08957732103682388,0.004323787189022786,0.2946,1,category
,credit.history,243,50,293,0.8293515358361775,0.17064846416382254,0.3486370157819225,0.16666666666666666,0.2938816449348044,0.205761316872428,-0.7380383701167231,0.13430109987059452,0.2946,1,category
